,100s,4 Wickets in Inn,4s,50s,6s,Age,Balls,Balls Faced,Balls_Average,Bat_Average,Bats(handed),Bowl_Strike_rate,Bowling_Best,Bowls(handed),DOB,Ducks,Economy_Rate,Highest Score,Innings,Maidens,Matches,Name,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets
19,0,9,55,1,21,36,7965,0,29.30,13.67,Right Handed,38.48,5/29,Left Arm Orthodox,15/06/1982,12,4.57,53*,97,70,153(2004-2014),Abdur Razzak,40,0,1327.3,779,6065,N/A,207
20,0,1,11,0,1,39,1624,263,38.07,8.35,Left Handed,54.13,4/48,Left Arm Orthodox,01/03/1980,4,4.22,31,23,12,31(2006-2014),Abdur Rehman,6,0,270.4,142,1142,53.99,30
21,0,0,6,1,1,77,336,132,26.71,31.00,Right Handed,48.00,2/22,Right Arm Medium,09/09/1941,0,3.34,70,3,10,5(1974-1975),Syed Abid Ali,0,0,56.0,93,187,70.45,7
22,0,0,2,0,0,50,60,26,N/A,N/A,Right Handed,N/A,0/40,Right Arm Off Break,04/03/1968,0,4.00,16*,1,0,1(2000-2000),Shafiek Abrahams,1,0,10.0,16,40,61.54,0
23,0,0,0,0,0,23,108,11,29.67,1.00,Right Handed,36.00,2/50,Left Arm Fast Medium,14/02/1996,0,4.94,1,1,2,2(2018-),Abu Hider,0,0,18.0,1,89,9.09,3
24,0,0,1,0,0,26,216,16,N/A,3.67,Left Handed,N/A,0/9,Right Arm Medium Fast,05/08/1992,0,6.78,7,3,1,7(2012-),Abul Hasan,0,0,36.0,11,244,68.75,0
25,0,3,31,0,18,43,1885,417,31.00,17.46,Right Handed,35.57,5/22,Right Arm Medium,17/07/1975,1,5.23,45,34,16,42(2001-2007),Andre R Adams,10,0,314.1,419,1643,100.48,53
26,0,,3,0,0,48,1,144,,17.75,Right Handed,,,Right Arm Off Break,06/05/1970,0,,42,4,,5(1998-2000),Christopher J Adams,0,0,3,71,,49.31,
27,0,1,148,14,3,51,1832,3614,34.35,28.62,Left Handed,42.60,5/37,Left Arm Orthodox,09/01/1968,7,4.84,82,105,12,127(1992-2001),James C Adams,28,1,305.2,2204,1477,60.99,43
28,0,0,5,0,0,42,1109,124,28.10,16.50,Right Handed,38.24,3/26,Left Arm Orthodox,20/01/1977,2,4.41,33*,9,7,24(1996-2003),Paul R Adams,5,0,184.5,66,815,53.23,29
29,0,1,2,0,0,38,846,139,40.59,2.80,Right Handed,49.76,4/42,Right Arm Off Break,15/08/1980,4,4.89,8*,12,6,21(2002-2011),Adeel Raja,2,0,141.0,28,690,20.14,17
30,0,,3,0,0,33,,89,,20.67,Right Handed,,,,13/03/1985,0,,27,4,,5(2011-2012),Adnan Akmal,1,0,,62,,69.66,
31,0,,27,1,1,34,1,409,,27.50,Left Handed,,,Right Arm Fast Medium,30/12/1984,0,,57*,16,,18(2017-),Adnan Mufti,4,0,4,330,,80.68,
32,0,,15,2,0,25,,488,,17.60,Right Handed,,,,10/08/1993,3,,60,16,,17(2014-),Afsar Zazai,1,1,,264,,54.10,
33,0,1,205,14,49,33,739,2362,54.67,24.73,Right Handed,61.58,5/31,Right Arm Medium,10/11/1985,8,5.33,92,85,0,85(2004-2010),Aftab Ahmed,6,1,123.1,1954,656,82.73,12
34,0,0,4,0,3,26,939,84,28.59,15.25,Right Handed,34.78,3/48,Right Arm Medium Fast,30/11/1992,1,4.93,16*,12,10,20(2010-),Aftab Alam,8,0,156.3,61,772,72.62,27
35,0,0,4,0,0,47,180,52,56.75,7.33,Right Handed,45.00,1/31,Right Arm Medium,12/12/1971,2,7.57,22,4,1,4(2004-2008),Afzaal Haider,1,0,30.0,22,227,42.31,4
36,0,0,16,1,0,34,402,209,40.00,16.67,Right Handed,50.25,2/17,Right Arm Medium Fast,10/07/1984,1,4.78,86,9,2,12(2004-2014),Rageg G Aga,0,0,67.0,150,320,71.77,8
37,0,0,17,0,1,25,432,166,51.75,20.57,Left Handed,54.00,2/48,Left Arm Orthodox,14/10/1993,2,5.75,46,8,2,9(2015-),Ashton C Agar,1,0,72.0,144,414,86.75,8
38,0,12,103,3,22,41,9484,1574,27.85,14.59,Right Handed,32.93,6/42,Right Arm Fast Medium,04/12/1977,10,5.07,95,113,100,191(1998-2007),Ajit B Agarkar,26,0,1580.4,1269,8021,80.62,288
39,0,0,0,0,0,58,126,3,40.00,N/A,Right Handed,42.00,3/38,Right Arm Fast,04/04/1960,0,5.71,2*,1,0,3(1985-1985),Jonathan P Agnew,1,0,21.0,2,120,66.67,3
40,0,0,0,0,0,59,18,0,N/A,N/A,Left Handed,N/A,0/23,Right Arm Medium,14/09/1959,0,7.67,0,0,0,1(1985-1985),Franklyn S Ahangama,0,0,3.0,0,23,N/A,0
41,0,0,1,0,0,21,378,17,30.73,4.50,Right Handed,34.36,3/13,Left Arm Medium,05/12/1997,0,5.37,5,3,2,8(2018-),Khaleel Khursheed Ahmed,1,0,63.0,9,338,52.94,11
42,0,0,2,0,0,41,30,19,39.00,11.00,,30.00,1/39,,15/05/1977,0,7.80,11,1,0,1(1999-1999),Ahmed Kamal,0,0,5.0,11,39,57.89,1
43,0,1,21,1,2,30,1325,418,36.56,12.89,Right Handed,53.00,4/37,Left Arm Orthodox,10/10/1988,4,4.14,50,22,9,25(2014-),Ahmed Raza,4,0,220.5,232,914,55.50,25
44,0,0,0,0,0,35,6,10,N/A,2.00,Left Handed,N/A,0/12,Left Arm Orthodox,20/10/1983,0,12.00,2,1,0,1(2009-2009),Ahmed Shah,0,1,1.0,2,12,20.00,0
45,6,0,266,14,18,27,115,3614,70.00,32.56,Right Handed,57.50,1/22,Right Arm Leg Break,23/11/1991,7,7.30,124,81,0,81(2009-),Ahmed Shehzad,1,80,19.1,2605,140,72.08,2
46,0,0,1,0,0,29,471,27,34.00,N/A,Right Handed,39.25,3/38,Right Arm Medium Fast,29/08/1989,0,5.20,10*,5,1,12(2011-2014),Ahsan Malik,5,0,78.3,14,408,51.85,12
47,0,,1,0,0,50,1,11,,2.50,Right Handed,,,Right Arm Medium Fast,20/06/1968,0,,4,2,,2(2004-2004),Aijaz Ali,0,0,1,5,,45.45,
48,0,0,9,0,1,19,78,158,51.00,18.00,Right Handed,78.00,1/19,Right Arm Medium,24/01/2000,1,3.92,40,6,2,6(2018-),Dipendra Singh Airee,0,0,13.0,108,51,68.35,1
49,0,2,2,0,0,39,658,45,25.78,8.67,Right Handed,28.61,4/43,Right Arm Medium Fast,05/09/1979,0,5.41,9*,6,3,14(2011-2012),Aizaz Cheema,3,0,109.4,26,593,57.78,23
50,0,0,16,0,8,25,728,374,42.50,20.00,Right Handed,45.50,2/26,Right Arm Medium Fast,21/03/1993,1,5.60,44,15,2,19(2014-),Aizaz Khan,2,5,121.2,260,680,69.52,16
51,0,0,0,0,3,33,588,60,28.82,6.50,Right Handed,34.59,3/41,Right Arm Medium Fast,27/07/1985,0,5.00,9,8,5,11(2010-2011),Ajmal Shahzad,2,0,98.0,39,490,65.00,17
52,0,,4,0,1,43,,99,,16.50,Left Handed,,,Left Arm Medium,20/02/1976,0,,25,4,,4(1997-1998),Akhtar Sarfraz,0,0,,66,,66.67,
53,0,0,73,5,2,50,117,1722,N/A,23.24,Right Handed,N/A,0/6,Right Arm Medium,01/11/1968,3,7.08,65,44,0,44(1988-2003),Akram Khan,2,0,19.3,976,138,56.68,0
54,0,0,8,0,2,54,2601,310,42.39,17.55,Right Handed,68.45,3/18,Right Arm Off Break,22/11/1964,4,3.72,33*,25,15,49(1989-1995),Akram Raza,14,0,433.3,193,1611,62.26,38
55,0,,45,2,1,40,2,709,,13.36,Right Handed,,,Right Arm Leg Break,23/04/1978,6,,62*,29,,29(1999-2003),Al Sahariar Rokon,1,19,7,374,,52.75,
56,0,0,1,0,0,50,42,16,N/A,N/A,Right Handed,N/A,0/16,Left Arm Medium,04/12/1968,0,5.14,7*,1,0,2(1990-1990),Alam Talukdar,1,0,7.0,7,36,43.75,0
57,0,2,0,0,0,29,603,20,24.90,2.00,Right Handed,28.71,4/51,Right Arm Medium Fast,01/01/1990,2,5.20,2*,7,7,14(2014-2015),Al-Amin Hossain,5,0,100.3,4,523,20.00,21
58,0,,0,0,0,29,,3,,1.00,Left Handed,,,Right Arm Off Break,23/01/1990,0,,1,1,,1(2008-2008),Alawi Shukri,0,0,,1,,33.33,
59,0,3,2,0,0,62,3371,97,23.10,2.67,Right Handed,37.88,5/17,Right Arm Fast Medium,12/06/1956,6,3.66,9*,18,75,65(1981-1991),Terence Michael Alderman,6,0,561.5,32,2056,32.99,89
60,0,0,0,0,0,41,114,0,98.00,N/A,Right Handed,114.00,1/45,Right Arm Fast Medium,15/11/1977,0,5.16,0,0,1,2(2011-2011),Graeme W Aldridge,0,0,19.0,0,98,N/A,1
61,0,,3,0,0,46,,75,,17.00,Left Handed,,,Right Arm Off Break,20/02/1973,0,,26,2,,2(2004-2004),Rohan P Alexander,0,2,,34,,45.33,
62,3,1,147,5,52,31,4216,1589,47.03,26.11,Left Handed,54.05,4/46,Right Arm Off Break,18/06/1987,3,5.22,128,74,10,92(2014-),Moeen Munir Ali,11,21,702.4,1645,3668,103.52,78
63,0,0,0,0,0,53,338,28,23.18,N/A,Right Handed,30.73,3/17,Right Arm Medium Fast,19/11/1965,0,4.53,6*,3,4,9(1996-1997),Rajab W Ali,3,0,56.2,7,255,25.00,11
64,0,0,3,0,0,42,120,47,36.50,21.00,Right Handed,60.00,2/35,Right Arm Fast Medium,06/12/1976,0,3.65,12,2,2,2(2004-2004),Ali Asad,1,0,20.0,21,73,44.68,2
65,0,0,7,0,0,27,112,153,40.00,14.20,Right Handed,56.00,1/22,Right Arm Medium Fast,14/10/1991,0,4.29,27,5,0,5(2011-2013),Duncan I Allan,0,3,18.4,71,80,46.41,2
66,0,0,2,0,1,23,138,52,N/A,6.25,Right Handed,N/A,0/5,Left Arm Orthodox,07/05/1995,0,5.70,10,4,0,4(2018-),Fabian Anthony Allen,0,0,23.0,25,131,48.08,0
67,0,0,8,1,1,50,366,255,28.00,21.57,Right Handed,36.60,3/27,Right Arm Medium,23/05/1968,0,4.59,53,8,1,10(1999-2000),Mark W Alleyne,1,0,61.0,151,280,59.22,10
68,0,,0,0,0,54,1,96,,3.67,Right Handed,,,Right Arm Medium,06/01/1965,0,,6,3,,3(1999-1999),Michael J D Allingham,0,2,1,11,,11.46,
69,0,4,0,0,0,47,1528,56,23.21,3.40,Right Handed,29.38,4/35,Left Arm Fast Medium,24/12/1971,2,4.74,7*,11,17,31(1997-2000),Geoffrey I Allott,6,0,254.4,17,1207,30.36,52
70,0,0,1,0,0,62,819,25,36.80,3.75,Right Handed,54.60,3/41,Right Arm Fast Medium,14/09/1956,2,4.04,8,6,19,13(1982-1985),Paul J W Allott,2,0,136.3,15,552,60.00,15
71,1,0,100,5,10,34,1452,1816,52.29,19.60,Right Handed,60.50,3/49,Right Arm Leg Break,01/12/1984,5,5.19,115,66,8,69(2002-2011),Alok Kapali,3,2,242.0,1235,1255,68.01,24
72,0,1,0,0,0,53,318,26,23.00,7.50,Right Handed,35.33,4/46,Right Arm Fast Medium,07/04/1965,0,3.91,9,3,7,8(1986-1988),Kaushik N Amalean,1,0,53.0,15,207,57.69,9
73,0,0,0,0,0,29,12,2,N/A,0.00,Right Handed,N/A,0/22,Left Arm Fast Medium,29/09/1989,1,11.00,0,1,0,1(2008-2008),Mohammad Aman Ali,0,0,2.0,0,22,N/A,0
74,2,0,130,13,9,68,2730,3334,42.85,30.54,Right Handed,59.35,3/12,Right Arm Medium,24/09/1950,2,4.33,102*,75,17,85(1975-1989),Mohinder Amarnath,12,0,450.2,1924,1971,57.71,46
75,0,,4,1,0,70,1,119,,33.33,Left Handed,,,Right Arm Medium,30/12/1948,0,,62,3,,3(1978-1978),Surinder Amarnath,0,0,1,100,,84.03,
76,0,,4,0,0,25,,27,,N/A,Right Handed,,,,23/03/1993,0,,38*,1,,1(2017-),Sunil Walford Ambris,1,0,,38,,140.74,
77,0,10,39,0,10,55,9353,985,24.13,10.65,Left Handed,41.57,5/17,Right Arm Fast,21/09/1963,13,3.48,31*,96,192,176(1988-2000),Curtly E L Ambrose,36,0,1558.5,639,5429,64.87,225
78,0,,0,0,0,36,,34,,2.50,Right Handed,,,,01/12/1982,1,,6,5,,5(2008-2008),Timothy R Ambrose,1,0,,10,,29.41,
79,0,0,1,0,0,40,426,9,40.33,N/A,Right Handed,47.33,3/44,Right Arm Fast Medium,05/03/1978,0,5.11,5*,4,6,8(2007-2008),Merenna K D I Amerasinghe,4,0,71.0,6,363,66.67,9
80,0,1,13,1,1,26,264,166,27.00,24.20,Left Handed,37.71,4/27,Right Arm Leg Break,14/04/1992,1,4.30,61*,6,0,6(2014-),Charles J A Amini,1,0,44.0,121,189,72.89,7
81,0,0,0,0,0,34,108,3,26.33,N/A,Right Handed,36.00,2/33,Right Arm Medium,12/06/1984,0,4.39,3*,1,1,2(2014-2014),Christopher R Amini,1,0,18.0,3,79,100.00,3
82,0,0,57,3,2,51,404,1403,57.14,23.35,Right Handed,57.71,3/57,Right Arm Off Break,02/02/1968,5,5.94,70,39,0,39(1988-2002),Aminul Islam,5,0,67.2,794,400,56.59,7
83,0,0,0,0,0,43,30,1,33.00,N/A,Right Handed,30.00,1/33,Right Arm Fast Medium,01/04/1975,0,6.60,1*,1,1,1(1999-1999),Aminul Islam Jnr,1,0,5.0,1,33,100.00,1
84,0,1,0,0,1,27,1552,94,25.40,3.29,Right Handed,38.80,4/17,Left Arm Orthodox,15/08/1991,1,3.93,7,16,22,31(2012-),Amir Hamza,9,0,258.4,23,1016,24.47,40
85,0,0,1,0,1,21,449,73,34.73,10.33,Right Handed,40.82,3/19,Right Arm Medium,01/01/1998,1,5.10,24*,6,4,9(2018-),Amir Hayat,3,0,74.5,31,382,42.47,11
86,4,,94,1,1,75,1,1185,,47.72,Right Handed,,,Left Arm Medium,07/04/1943,0,,137,18,,18(1972-1977),Dennis L Amiss,0,18,2,859,,72.49,
87,0,,71,3,2,39,1,680,,30.59,Left Handed,,,Right Arm Leg Break,25/09/1979,0,,98,17,,17(2008-2015),Amjad Ali,0,16,7,520,,76.47,
88,0,0,27,1,9,38,618,267,67.56,19.92,Right Handed,68.67,3/60,Right Arm Medium,05/07/1980,1,5.90,56,13,4,15(2008-),Amjad Javed,1,1,103.0,239,608,89.51,9
89,27,344,806,37,53,35,4,8865,6 (66.67%),49.75,Right Handed,,38.22,Right Arm Medium,31/03/1983,4,,159,171,,174(2008-),Hashim Mahomed Amla,12,168,83,7910,,89.23,9/4/5
90,0,0,28,2,2,50,2,799,N/A,20.52,Right Handed,N/A,0/4,,14/08/1968,1,12.00,84*,30,0,37(1991-1994),Praveen K Amre,5,0,0.2,513,4,64.21,0
91,3,,101,3,19,26,1,1464,,30.53,Right Handed,,,,16/12/1992,6,,120,34,,37(2012-),Anamul Haque,0,34,4,1038,,70.90,
92,1,3,86,4,55,28,1485,1020,25.03,27.73,Left Handed,24.75,5/63,Left Arm Medium Fast,13/12/1990,4,6.07,131*,44,10,49(2013-),Corey J Anderson,4,0,247.3,1109,1502,108.73,60
93,0,0,20,0,2,36,30,267,N/A,18.88,Right Handed,N/A,0/5,Right Arm Off Break,06/10/1982,0,4.00,39,8,0,8(2014-),John Anderson,0,3,5.0,151,20,56.55,0
94,0,13,23,0,0,36,9584,561,29.22,7.58,Left Handed,35.63,5/23,Right Arm Fast Medium,30/07/1982,10,4.92,28,79,125,194(2002-2015),James M Anderson,43,0,1597.2,273,7861,48.66,269
95,0,,1,0,0,70,1,46,,16.00,Right Handed,,,,02/10/1948,0,,12,2,,2(1976-1978),Robert W Anderson,1,1,1,16,,34.78,
96,0,0,2,0,0,47,588,64,40.64,3.83,Right Handed,42.00,3/30,Right Arm Medium Fast,08/11/1971,1,5.81,6,11,8,17(1997-2003),Joseph O Angara,5,0,98.0,23,569,35.94,14
97,0,0,0,0,0,50,162,3,28.25,0.00,Left Handed,40.50,2/47,Right Arm Fast,22/04/1968,1,4.19,0,1,3,3(1994-1995),Jo Angel,0,0,27.0,0,113,N/A,4
98,0,0,0,0,0,48,48,11,N/A,1.00,Left Handed,N/A,0/26,Left Arm Medium Fast,01/03/1971,1,8.50,2,2,0,2(1995-1998),Anisur Rehman,0,0,8.0,2,68,18.18,0
99,0,0,1,0,1,51,807,42,47.31,3.78,Right Handed,62.08,3/33,Right Arm Medium Fast,01/03/1968,5,4.57,9,13,4,20(1989-1997),Salil A Ankola,4,0,134.3,34,615,80.95,13
100,0,,1,0,0,37,1,69,,12.00,Right Handed,,,Right Arm Off Break,27/02/1982,0,,18,4,,4(2014-2014),Ankur Vasishta,1,0,1,36,,52.17,
101,0,,0,0,0,27,,0,,N/A,Left Handed,,,Left Arm Orthodox,10/12/1991,0,,0,0,,1(2015-2015),Zafar S Ansari,0,0,,0,,N/A,
102,1,0,71,7,9,21,337,1080,11.93,51.75,Left Handed,24.07,3/22,,05/11/1997,1,2.97,143*,18,8,18(2014-),Anshuman Rath,2,8,56.1,828,167,76.67,14
103,0,0,0,0,2,48,156,22,47.67,7.67,Right Handed,52.00,2/47,Right Arm Fast Medium,16/01/1971,1,5.50,21,3,0,3(1995-1995),Hamish A G Anthony,0,0,26.0,23,143,104.55,3
104,0,0,1,0,0,53,2100,143,45.75,10.33,Right Handed,65.63,3/40,Left Arm Orthodox,25/02/1966,2,4.18,11,18,14,45(1986-1994),Sangarange D Anurasiri,12,0,350.0,62,1464,43.36,32
105,0,0,29,0,7,31,927,367,52.44,29.18,Right Handed,51.50,3/66,Right Arm Medium Fast,25/11/1987,0,6.11,43*,16,1,22(2013-2016),Anwar Ali,5,0,154.3,321,944,87.47,18
106,0,,6,0,0,35,,106,,42.00,Right Handed,,,,10/12/1983,0,,42,1,,1(2002-2002),Anwar Hossain,0,1,,42,,39.62,
107,0,0,0,0,0,37,48,8,N/A,N/A,Right Handed,N/A,0/45,Right Arm Fast Medium,31/12/1981,0,5.63,0*,1,0,1(2002-2002),Anwar Hossain Monir,1,0,8.0,0,45,N/A,0
108,0,0,11,1,1,66,242,247,128.50,30.00,Left Handed,121.00,1/57,Right Arm Leg Break,28/10/1952,0,6.37,58,4,0,5(1996-1996),Gerald J A F Aponso,0,0,40.2,120,257,48.58,2
109,0,1,0,0,0,25,423,45,37.70,3.33,Right Handed,42.30,4/18,Left Arm Orthodox,23/06/1993,1,5.35,4,7,1,9(2016-),M Amila Aponso,4,0,70.3,10,377,22.22,10
110,0,2,5,0,0,32,830,92,25.00,12.00,Left Handed,34.58,4/27,Left Arm Orthodox,29/09/1986,1,4.34,15,11,8,16(2014-2015),Arafat Sunny,7,0,138.2,48,600,52.17,24
111,0,0,0,0,0,26,18,0,N/A,N/A,Right Handed,N/A,0/17,Right Arm Medium Fast,18/11/1992,0,5.67,0,0,0,1(2018-),Ariful Haque,0,0,3.0,0,17,N/A,0
112,0,1,4,0,0,74,714,75,17.84,16.00,Right Handed,37.58,4/27,Right Arm Medium Fast,03/09/1944,1,2.85,18*,6,19,14(1972-1975),Geoffrey G Arnold,3,0,115.4,48,339,64.00,19
113,1,0,284,28,21,45,2157,5443,43.48,35.27,Left Handed,53.93,3/47,Right Arm Off Break,25/10/1973,7,4.84,103,155,8,180(1997-2007),Russel P Arnold,43,3,359.3,3950,1739,72.57,40
114,0,,12,3,1,57,1,491,,23.80,Right Handed,,,,08/03/1961,0,,60,12,,13(1987-1993),Kevin J Arnott,2,3,3,238,,48.47,
115,0,0,6,0,0,42,102,102,105.00,13.50,Right Handed,102.00,1/5,,06/04/1976,1,6.18,41,4,0,4(2004-2008),Arshad Ali,0,4,17.0,54,105,52.94,1
116,0,1,6,0,0,60,1769,162,39.23,11.60,Right Handed,57.06,5/21,Right Arm Off Break,02/08/1958,1,4.12,31*,17,17,32(1987-1990),Arshad Ayub,7,0,294.5,116,1216,71.60,31
117,0,1,6,0,1,47,2823,218,34.79,12.09,Right Handed,50.41,4/33,Right Arm Off Break,22/03/1971,5,4.14,20,29,27,58(1993-2006),Arshad Khan,18,0,470.3,133,1948,61.01,56
118,0,0,11,0,2,48,198,215,198.00,20.20,Right Handed,198.00,1/25,Right Arm Fast Medium,28/11/1970,1,6.00,43*,6,0,6(1994-1996),Arshad Laeeq,1,0,33.0,101,198,46.98,1
119,0,,0,0,0,65,,47,,5.50,Right Handed,,,Right Arm Medium,01/10/1953,0,,8,2,,2(1978-1978),Arshad Pervez,0,1,,11,,23.40,
120,0,3,132,9,19,54,1384,2822,27.60,26.08,Left Handed,32.95,4/31,Left Arm Orthodox,21/02/1965,12,5.02,84,93,4,105(1988-1999),Keith L T Arthurton,20,0,230.4,1904,1159,67.47,42
121,0,0,2,0,0,56,102,32,103.00,10.50,Right Handed,102.00,1/43,Right Arm Medium,14/12/1962,0,6.06,8,3,0,4(1986-1987),Bharathi Arun,1,0,17.0,21,103,65.63,1
122,0,,10,1,1,63,1,232,,9.38,Right Handed,,,Right Arm Medium,01/08/1955,4,,51,13,,13(1982-1989),Arun Lal,0,11,4,122,,52.59,
123,0,0,0,0,1,30,180,16,57.50,6.50,,90.00,1/22,,14/10/1988,0,3.83,11,2,6,4(2013-2013),Asad Ali,0,0,30.0,13,115,81.25,2
124,0,0,108,9,5,33,12,1979,N/A,24.74,Right Handed,N/A,0/9,Right Arm Leg Break,28/01/1986,5,9.00,84,58,0,60(2010-),Asad Shafiq,4,4,2.0,1336,18,67.51,0
125,1,0,124,8,42,31,139,2830,30.33,21.71,Right Handed,46.33,1/1,Right Arm Medium Fast,22/12/1987,6,3.93,101,90,1,96(2009-),Mohammad Asghar Afghan,7,0,23.1,1802,91,63.67,3
126,0,,1,0,0,47,,53,,7.00,Right Handed,,,,03/09/1971,1,,14,2,,2(2004-2004),Asghar Ali,0,0,,14,,26.42,
127,0,0,0,0,0,45,102,0,N/A,N/A,Right Handed,N/A,0/20,Right Arm Fast Medium,06/06/1973,0,4.94,0,0,2,3(1994-1994),Ashfaq Ahmed,0,0,17.0,0,84,N/A,0
128,0,0,38,2,9,21,199,337,40.50,27.08,Right Handed,49.75,2/55,,01/01/1998,1,4.88,92,12,1,12(2018-),Ashfaq Ahmed,0,12,33.1,325,162,96.44,4
129,0,,3,0,0,60,,135,,17.25,Right Handed,,,,22/04/1958,1,,19*,9,,16(1980-1985),Ashraf Ali,5,0,,69,,51.11,
130,0,1,59,1,6,32,6021,776,32.91,16.07,Right Handed,40.14,4/25,Right Arm Off Break,17/09/1986,6,4.92,65,61,35,111(2010-),Ravichandran Ashwin,19,0,1003.3,675,4937,86.98,150
131,0,,13,1,12,27,1,153,,28.57,Right Handed,,,Right Arm Medium Fast,01/10/1991,0,,50*,8,,11(2018-),Asif Ali,1,0,2,200,,130.72,
132,0,1,28,5,1,75,592,466,23.63,55.00,Right Handed,37.00,4/56,Right Arm Medium,06/06/1943,0,3.83,62,8,7,10(1973-1979),Asif Iqbal,2,0,97.0,330,378,70.82,16
133,0,0,2,0,0,35,24,8,N/A,8.00,Right Handed,N/A,0/32,,12/01/1984,0,8.00,8,1,0,1(2015-2015),Asif Iqbal,0,1,4.0,8,32,100.00,0
134,0,,2,0,0,43,,34,,7.00,Right Handed,,,Right Arm Off Break,18/12/1975,1,,14,2,,2(1998-1998),Asif Mahmood,0,2,,14,,41.18,
135,0,0,1,0,0,73,402,17,46.80,5.00,Right Handed,80.40,2/9,Right Arm Fast Medium,23/01/1946,1,3.49,6,3,8,7(1973-1976),Asif Masood,1,0,62.0,10,234,58.82,5
